Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date
software developer,Global Operation Integrity Inc.,"Waterloo, ON",45000.00,65000.00,2023-12-07
software developer,MUNDAIR CONSULTING LTD.,"Guelph, ON",89960.0,89960.0,2023-12-07
software developer,N. Harris Computer Corporation - USA,"Cambridge, ON",,,2023-12-07
software developer,Schaeffler Group,"Stratford, ON",,,2023-12-07
software developer,Aceit Digital Inc.,"Calgary, AB",81120.0,81120.0,2023-12-07
software developer,Epsilon Solutions LTD,Various locations,,,2023-12-07
software developer,University of Waterloo,"Waterloo, ON",,,2023-12-07
senior software developer,CloudAid Inc,"Toronto, ON",72800.0,72800.0,2023-12-07
software developer,Mako Financial Technologies Inc.,"Camrose, AB",87320.00 annually,87320.00,2023-12-07
software developer,RideCo,"Waterloo, ON",,,2023-12-07
cloud developer,Spa Dent Inc.,"Cambridge, ON",62400.0,62400.0,2023-12-07
