Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date
Software Developer,Navitas Vehicle Systems,"Waterloo, ON",61435,77790,2023-12-07
Software Developer,Ricoh Canada,"Kitchener, ON",84461,106946,2023-12-07
Software Test Developer,D2L,"Kitchener, ON",85933,108810,2023-12-07
Software Developer,ISN Technologies,"Waterloo, ON",75118,95116,2023-12-07
Software Developer,D2L,"Kitchener, ON",94983,120269,2023-12-07
Software Developer in Test and Automation (Intermediate/Senior),RideCo,"Waterloo, ON",90000,110000,2023-12-07
Software Developer,Brock Solutions,"Kitchener, ON",85753,108582,2023-12-07
Senior Software Developer,Encircle,"Kitchener, ON",103935,131605,2023-12-07
Software Developer I,ATS Automation Tooling Systems,"Cambridge, ON",88372,111899,2023-12-07
software developer,Global Operation Integrity Inc.,"Waterloo, ON",45000,65000,2023-12-07
Software Developer,MarshallZehr,"Waterloo, ON",78647,99584,2023-12-07
Full Stack Web Developer,BicDroid Inc.,"Waterloo, ON",63620,80557,2023-12-07
computer programmer,Wireframe Solutions,"Waterloo, ON",99840,99840,2023-12-07
SHOPIFY DEVELOPER,Spa Dent Inc.,"Cambridge, ON",52000,,2023-12-07
Software Engineer - Remote (Canada),TeamViewer,"Kitchener, ON",96886,122679,2023-12-07
"Software Developer III, Full Stack, Google Cloud Platforms",Google,"Waterloo, ON",,,2023-12-07
Java Developer - Canadian Visa Sponsorship Global Talent Stream,Venuiti,"Kitchener, ON",90000,90000,2023-12-07
Health Records Tech Coder,Grand River Hospital,"Kitchener, ON",46065,58328,2023-12-07
Software Developer,BicDroid Inc.,"Waterloo, ON",68117,86251,2023-12-07
"Senior Java Developer (onsite Cambridge, ON)",VectorVue,"Kitchener, ON",,,2023-12-07
Senior Software Developer,Aquanty Inc,"Waterloo, ON",95845,121361,2023-12-07
"Senior Software Developer, Machine Learning, Google Workspace",Google,"Waterloo, ON",,,2023-12-07
C/C++ Software Developer,BicDroid Inc.,"Waterloo, ON",86516,109548,2023-12-07
Front End Developer (Hybrid remote friendly),Imagine Communications,"Waterloo, ON",56671,71758,2023-12-07
Staff Software Developer,ATS Automation Tooling Systems,"Cambridge, ON",105998,134217,2023-12-07
"Software Engineer - Remote (Waterloo, ON)",TeamViewer,"Waterloo, ON",91469,115821,2023-12-07
Back-End Software Engineer,Manulife,"Waterloo, ON",109759,138979,2023-12-07
Web Developer (AEM Architect),BlackBerry,"Waterloo, ON",83601,105858,2023-12-07
Full Stack Developer,"Cloud DX, Inc.","Kitchener, ON",84746,107308,2023-12-07
Senior Machine Learning Developer,ApplyBoard,"Kitchener, ON",93372,118230,2023-12-07
Senior Software Developer,D2L,"Kitchener, ON",105453,133527,2023-12-07
Information Systems Specialist (Developer),University of Waterloo,"Waterloo, ON",85218,107905,2023-12-07
Software Engineer,NCR,"Waterloo, ON",108578,137484,2023-12-07
Software Engineer,Bosch Group,"Waterloo, ON",80148,101486,2023-12-07
"Intermediate Technology Specialist, Core Systems Developer",Equitable,"Waterloo, ON",86832,109949,2023-12-07
Sr. Software Developer,ApplyBoard,"Kitchener, ON",80773,102277,2023-12-07
CNC Programmer,Artco,"Kitchener, ON",47840,,2023-12-07
Associate Product Support Specialist,opentext,"Waterloo, ON",52799,66856,2023-12-07
M365 SharePoint Developer,University of Waterloo,"Waterloo, ON",69636,88175,2023-12-07
Web Application Developer,Fivewalls,"Waterloo, ON",67100,84964,2023-12-07
Full-Stack Developer,Descartes,"Waterloo, ON",95725,121209,2023-12-07
Java WebObjects Web Developer,LifeLearn,"Guelph, ON",78081,98868,2023-12-07
"Senior Software Engineer, Mobile (Android) - Remote/Hybrid",IMS,"Waterloo, ON",93765,118728,2023-12-07
IT Software Developer - (Salesforce),opentext,"Waterloo, ON",88767,112398,2023-12-07
Senior Fullstack Software Developer,Geotab,"Waterloo, ON",89881,113809,2023-12-07
Associate Product Support Specialist,Open Text Corporation,"Waterloo, ON",52799,66856,2023-12-07
Senior Java Developer,Venuiti,"Kitchener, ON",86589,109641,2023-12-07
"Product Developer, Software - Advanced Research",Christie Digital Systems Inc.,"Kitchener, ON",76644,97048,2023-12-07
Senior Software Developer,Brock Solutions,"Kitchener, ON",100193,126867,2023-12-07
Manufacturing Software Developer – Test Station,Ford Motor Company,"Waterloo, ON",82246,104141,2023-12-07
Senior .NET Developer,Venuiti,"Waterloo, ON",74144,93883,2023-12-07
"Intermediate Technology Specialist, Digital Developer",Equitable,"Waterloo, ON",80521,101958,2023-12-07
Senior Software Developer - Quantum Compiler/Transpiler,Anyon Systems Inc.,"Waterloo, ON",95899,121430,2023-12-07
Senior Investment Developer,Equitable,"Waterloo, ON",82895,104964,2023-12-07
"Lead Developer - Microsoft Stack (Dynamics, Power Platform)",Mayk Ideas,"Kitchener, ON",84062,106442,2023-12-07
Senior Software Engineer,Sun Life,"Waterloo, ON",82000,135000,2023-12-07
Software Engineer - Full Stack,MCAP,"Waterloo, ON",88820,112466,2023-12-07
Senior Integration Developer,Carta,"Waterloo, ON",91155,115422,2023-12-07
Software Engineer,BicDroid Inc.,"Waterloo, ON",80288,101663,2023-12-07
Sr. Software Engineer,MCAP,"Waterloo, ON",90367,114425,2023-12-07
"Senior Staff Software Developer, Precision Health Platform",Verily,"Waterloo, ON",110286,139646,2023-12-07
Senior Simulation Developer,Clearpath Robotics Inc.,"Kitchener, ON",123000,150000,2023-12-07
Automation Engineer,Linamar Corp,"Guelph, ON",63807,80794,2023-12-07
IT/ Software Development Technology Consultant for Tax Incentives,KPMG,"Waterloo, ON",57375,72650,2023-12-07
Senior Software Engineer/Team Lead,Descartes,"Waterloo, ON",156268,197870,2023-12-07
Test Engineer,KA Imaging Inc,"Waterloo, ON",75195,95214,2023-12-07
Lead Software Developer,opentext,"Waterloo, ON",99852,126435,2023-12-07
Senior Embedded Developer,"Cloud DX, Inc.","Kitchener, ON",86108,109033,2023-12-07
Vulkan Graphics Engineer - Global Remote,CoreAVI,"Waterloo, ON",99086,125465,2023-12-07
"Intermediate Image Specialist, Product Developer",Christie Digital Systems Inc.,"Kitchener, ON",66061,83648,2023-12-07
