Job Title,Company,Location,Estimated Salary
Software Developer,Navitas Vehicle Systems,"— Waterloo, ON","Estimated: $61,435 - $77,790 a year"
Software Developer,Ricoh Canada,"— Kitchener, ON","Estimated: $84,461 - $106,946 a year"
Software Test Developer,D2L,"— Kitchener, ON","Estimated: $85,933 - $108,810 a year"
Software Developer,ISN Technologies,"— Waterloo, ON","Estimated: $75,118 - $95,116 a year"
Software Developer,D2L,"— Kitchener, ON","Estimated: $94,983 - $120,269 a year"
Software Developer in Test and Automation (Intermediate/Senior),RideCo,"— Waterloo, ON","$90,000 - $110,000 a year"
Software Developer,Brock Solutions,"— Kitchener, ON","Estimated: $85,753 - $108,582 a year"
Senior Software Developer,Encircle,"— Kitchener, ON","Estimated: $103,935 - $131,605 a year"
Software Developer I,ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $88,372 - $111,899 a year"
software developer,Global Operation Integrity Inc.,"— Waterloo, ON","$45,000 - $65,000 a year"
Software Developer,MarshallZehr,"— Waterloo, ON","Estimated: $78,647 - $99,584 a year"
Full Stack Web Developer,BicDroid Inc.,"— Waterloo, ON","Estimated: $63,620 - $80,557 a year"
computer programmer,Wireframe Solutions,"— Waterloo, ON",$48 an hour
SHOPIFY DEVELOPER,Spa Dent Inc.,"— Cambridge, ON",$25 - $30 an hour
Software Engineer - Remote (Canada),TeamViewer,"— Kitchener, ON","Estimated: $96,886 - $122,679 a year"
"Software Developer III, Full Stack, Google Cloud Platforms",Google,"— Waterloo, ON",N/A
Java Developer - Canadian Visa Sponsorship Global Talent Stream,Venuiti,"— Kitchener, ON","$90,000 a year"
Health Records Tech Coder,Grand River Hospital,"— Kitchener, ON","Estimated: $46,065 - $58,328 a year"
Software Developer,BicDroid Inc.,"— Waterloo, ON","Estimated: $68,117 - $86,251 a year"
"Senior Java Developer (onsite Cambridge, ON)",VectorVue,"— Kitchener-Waterloo, ON",N/A
Senior Software Developer,Aquanty Inc,"— Waterloo, ON","Estimated: $95,845 - $121,361 a year"
"Senior Software Developer, Machine Learning, Google Workspace",Google,"— Waterloo, ON",N/A
C/C++ Software Developer,BicDroid Inc.,"— Waterloo, ON","Estimated: $86,516 - $109,548 a year"
Front End Developer (Hybrid remote friendly),Imagine Communications,"— Waterloo, ON","Estimated: $56,671 - $71,758 a year"
Staff Software Developer,ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $105,998 - $134,217 a year"
"Software Engineer - Remote (Waterloo, ON)",TeamViewer,"— Waterloo, ON","Estimated: $91,469 - $115,821 a year"
Back-End Software Engineer,Manulife,"— Waterloo, ON","Estimated: $109,759 - $138,979 a year"
Web Developer (AEM Architect),BlackBerry,"— Waterloo, ON","Estimated: $83,601 - $105,858 a year"
Full Stack Developer,"Cloud DX, Inc.","— Kitchener, ON","Estimated: $84,746 - $107,308 a year"
Senior Machine Learning Developer,ApplyBoard,"— Kitchener, ON","Estimated: $93,372 - $118,230 a year"
Senior Software Developer,D2L,"— Kitchener, ON","Estimated: $105,453 - $133,527 a year"
Information Systems Specialist (Developer),University of Waterloo,"— Waterloo, ON","Estimated: $85,218 - $107,905 a year"
Software Engineer,NCR,"— Waterloo, ON","Estimated: $108,578 - $137,484 a year"
Software Engineer,Bosch Group,"— Waterloo, ON","Estimated: $80,148 - $101,486 a year"
"Intermediate Technology Specialist, Core Systems Developer",Equitable,"— Waterloo, ON","Estimated: $86,832 - $109,949 a year"
Sr. Software Developer,ApplyBoard,"— Kitchener, ON","Estimated: $80,773 - $102,277 a year"
CNC Programmer,Artco,"— Kitchener-Waterloo, ON",$23 - $32 an hour
Associate Product Support Specialist,opentext,"— Waterloo, ON","Estimated: $52,799 - $66,856 a year"
