Job Title,Company,Location,Estimated Salary
software developer Verified,Global Operation Integrity Inc.,Location Waterloo (ON),"Salary: $45,000.00 to $65,000.00 annually (to be negotiated)"
software developer Verified,MUNDAIR CONSULTING LTD.,Location Guelph (ON),Salary: $43.25 hourly
software developer,N. Harris Computer Corporation - USA,Location Cambridge (ON),Salary not available
software developer,Schaeffler Group,Location Stratford (ON),Salary not available
software developer Verified,Aceit Digital Inc.,"Location Calgary, AB",Salary: $39.00 hourly
software developer,Epsilon Solutions LTD,Location Various locations,Salary not available
software developer,University of Waterloo,Location Waterloo (ON),Salary not available
senior software developer Verified,CloudAid Inc,"Location Toronto, ON",Salary: $35.00 hourly
software developer Verified,Mako Financial Technologies Inc.,"Location Camrose, AB","Salary: $87,320.00 annually"
software developer,RideCo,Location Waterloo (ON),Salary not available
cloud developer,Spa Dent Inc.,Location Cambridge (ON),Salary: $25.00 to $30.00 hourly
